Solver.java,org.sat4j.minisat.core.Solver,empty,findModel,2105,KILLED,org.sat4j.BugSAT37.testSolver(org.sat4j.BugSAT37)
Solver.java,org.sat4j.minisat.core.Solver,null,findModel,2105,KILLED,org.sat4j.BugSAT43.testNoDeclaredVariables(org.sat4j.BugSAT43)
Solver.java,org.sat4j.minisat.core.Solver,empty,findModel,2114,KILLED,org.sat4j.BugSAT81.testSimplePhoneSATSmall(org.sat4j.BugSAT81)
Solver.java,org.sat4j.minisat.core.Solver,null,findModel,2114,KILLED,org.sat4j.BugSAT81.testSimplePhoneSATSmall(org.sat4j.BugSAT81)
Solver.java,org.sat4j.minisat.core.Solver,null,fixedSize,1550,NO_COVERAGE,none
Solver.java,org.sat4j.minisat.core.Solver,null,forget,1434,KILLED,org.sat4j.minisat.core.TestPrimeComputation.testOtherImplicant[2](org.sat4j.minisat.core.TestPrimeComputation)
Solver.java,org.sat4j.minisat.core.Solver,null,fromLastDecisionLevel,2464,NO_COVERAGE,none
Solver.java,org.sat4j.minisat.core.Solver,null,getIthConstr,1999,NO_COVERAGE,none
Solver.java,org.sat4j.minisat.core.Solver,empty,getLiteralsPropagatedAt,2296,NO_COVERAGE,none
Solver.java,org.sat4j.minisat.core.Solver,null,getLiteralsPropagatedAt,2296,NO_COVERAGE,none
Solver.java,org.sat4j.minisat.core.Solver,null,getSolvingEngine,2441,KILLED,org.sat4j.TestSolverEngine.testThatItWorksWithOneDecorator(org.sat4j.TestSolverEngine)
Solver.java,org.sat4j.minisat.core.Solver,0,getTimeout,2081,NO_COVERAGE,none
Solver.java,org.sat4j.minisat.core.Solver,1,getTimeout,2081,NO_COVERAGE,none
Solver.java,org.sat4j.minisat.core.Solver,0L,getTimeoutMs,2089,NO_COVERAGE,none
Solver.java,org.sat4j.minisat.core.Solver,1L,getTimeoutMs,2089,NO_COVERAGE,none
Solver.java,org.sat4j.minisat.core.Solver,false,isSatisfiable,1526,KILLED,org.sat4j.minisat.TestsFonctionnels.testTrivialSatNewVar(org.sat4j.minisat.TestsFonctionnels)
Solver.java,org.sat4j.minisat.core.Solver,true,isSatisfiable,1526,KILLED,org.sat4j.minisat.core.TestAtMost.testUnEssaiUnsat(org.sat4j.minisat.core.TestAtMost)
Solver.java,org.sat4j.minisat.core.Solver,false,isSatisfiable,1545,KILLED,org.sat4j.minisat.core.BugTrivialAssumption.testEasyInconsistencyInAssumption(org.sat4j.minisat.core.BugTrivialAssumption)
